filename, stage1, stage2, stage3
00159_JPG.rf.a60f8c7832b819ebf3171866f5772bbb.jpg, 0, 1, 0
00369_JPG.rf.c36c7049aa571fd8ebd4ea7f30c0b2ca.jpg, 1, 0, 0
00127_JPG.rf.f9970f4617376c5fdbd5cb1593071e3a.jpg, 0, 1, 1
00203_JPG.rf.fe0ca712f3bd3c51c14bc3b29298502a.jpg, 1, 1, 0
00362_JPG.rf.e701bb998aaac4f79706f2a244045e05.jpg, 1, 0, 0
00333_JPG.rf.b145c06fc190c2b7ee16d9490be02fc1.jpg, 0, 1, 1
00330_JPG.rf.d130bc6b3c59873c53ac2a9251c61016.jpg, 1, 0, 1
00279_JPG.rf.e94aa1b0c46a3e813dc132fa48ee5fe3.jpg, 0, 1, 0
00186_JPG.rf.df3243a0f6af32b0bd80c0294b56acb0.jpg, 1, 1, 1
00229_JPG.rf.c42a8dc20da6c3dfed17f601fe194074.jpg, 1, 1, 0
00370_JPG.rf.dae2fea53ac9103746215e697e9485de.jpg, 1, 0, 0
00156_JPG.rf.d259545cdd6f37ad05781b2993d12a22.jpg, 0, 1, 0
00207_JPG.rf.eaf724d92aad331ed80e4713bcd45bae.jpg, 1, 1, 0
00342_JPG.rf.cf2ef1cbac99e71eef59ac6e6473589a.jpg, 1, 1, 1
00201_JPG.rf.fc32458cbed6cbc65e2434f35439f44e.jpg, 1, 1, 0
00335_JPG.rf.d4b17fd39706328085d335333713a715.jpg, 1, 1, 1
00198_JPG.rf.c3bed93338715478a62aacd00014c854.jpg, 0, 1, 0
00271_JPG.rf.b299319c2126666449e2bb25a8777774.jpg, 1, 1, 0
00300_JPG.rf.31689970ed56477b6535447c68cb0eca.jpg, 0, 1, 0
00365_JPG.rf.113a86d07c1ba59024fb153b9baee91a.jpg, 1, 0, 0
00216_JPG.rf.0c2fa2798b47f45495b098bd1eeeac47.jpg, 0, 1, 0
00371_JPG.rf.30ed517c696c7d3911c6a38fe8111a44.jpg, 1, 0, 0
00337_JPG.rf.34b540efb5d445517f5ce1bed5d485b2.jpg, 1, 1, 0
00179_JPG.rf.5698df5eaa854ba1a4be777458d4b7d4.jpg, 1, 1, 0
00017_jpeg.rf.1f9ad1a2d67beaff3036f5690c49944a.jpg, 0, 0, 0
00286_JPG.rf.30581fcf8a2e4f96c3e5b83d81be070c.jpg, 1, 0, 0
00134_JPG.rf.1d094f9b063e198817d8cbcf6059b697.jpg, 0, 1, 1
00317_JPG.rf.4098faf1c13d608154e7d5d0ce5c1df8.jpg, 1, 1, 0
00336_JPG.rf.3e2465e9abceda9c490543ffbe642d27.jpg, 0, 0, 0
00318_JPG.rf.3f1159e11d883576dc14626948058c1b.jpg, 1, 1, 0
00326_JPG.rf.072aae68a787b094f0a9da8f9d0e6366.jpg, 1, 1, 0
00234_JPG.rf.56f6ee7154c3e1e8cb8c54c3fc63844b.jpg, 1, 1, 0
00347_JPG.rf.5a8ad953958156a5b009e85bb68ab5ac.jpg, 1, 1, 1
00288_JPG.rf.575297b331a19d6d6e8f741d56bf86d1.jpg, 1, 0, 0
00464_JPG.rf.685222b204b9c46ae7c3cf98795e04e8.jpg, 1, 1, 1
00217_JPG.rf.5f0562d5613ab5f90f0967db139c5f52.jpg, 1, 1, 1
00296_JPG.rf.5ea1d94bcbdb19434ce879fa6c8cf7af.jpg, 0, 0, 1
00357_JPG.rf.6bc1fccdd4a8cb726aeaa38d116b0814.jpg, 1, 1, 0
00153_JPG.rf.7a67cec5d9843bfda1b8f1f5763d229b.jpg, 0, 1, 1
00008_jpg.rf.74ca975af7e8951f8bba9fa2e0ca14fa.jpg, 0, 1, 0
00350_JPG.rf.68aa89778a400993a7d92762574c0c84.jpg, 1, 0, 1
00209_JPG.rf.78ae47f2d568f79936a39a23cf766f15.jpg, 0, 1, 0
00120_JPG.rf.931119ce7c932c546fa1f037943b6d45.jpg, 0, 1, 1
00290_JPG.rf.66748cd1ff5056e32fba5d3c4b2aa63c.jpg, 0, 1, 0
00214_JPG.rf.758313e333af6224556cd4f82c3f2d36.jpg, 0, 1, 0
00301_JPG.rf.737725d05c90bf7e9ba3a0fa2318db75.jpg, 1, 1, 0
00119_JPG.rf.863a3f1f7879db8b624e07a238e3b96c.jpg, 0, 1, 1
00223_JPG.rf.987907cd9f2e5537637d1bb709f97cdb.jpg, 0, 1, 1
00161_JPG.rf.8e3e62d4d2561987a3830e50f08bee5e.jpg, 0, 1, 0
00339_JPG.rf.9d939bb0bfc2f081715b8625333abaef.jpg, 1, 1, 1
00231_JPG.rf.82aaf88aa2a620d8f3926b642440b7d1.jpg, 0, 1, 0
00375_JPG.rf.9b1290c45036990d421ec3827e349d7e.jpg, 1, 0, 0
00346_JPG.rf.9b67d500446fbe23d9501fb45c20393e.jpg, 1, 1, 0
